date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:25:09	49153/49153	---MC-	200	added ('OK')	text/javascript	date:Fri,%2009%20Apr%202021%2023:59:54%20GMT	http://www.google-analytics.com/analytics.js	/home/hectorsum/Desktop/Projects/hyattziva-rooms/www.google-analytics.com/analytics.js	(from https://www.reservhotel.com/win/owa/ibe5_rooms.main?hotel=10757&aDate=31-MAY-21&dDate=20-JUN-21&lang=1&source=&IP=&S=69289427&currency=&room=&rate=&allow_cash=N&agent=&usr=&showHotel=&sub_source=&view_type=&usr_country=PE&chat=Y&PCC=&AirportDep=&r=https%3A%2F%2Fwww.reservhotel.com%2Fwin%2Fowa%2Fibe5_rooms.main%3Fhotel%3D10757_aDate%3D26-MAY-21_dDate%3D31-MAY-21_lang%3D1_source%3D_IP%3D_S%3D692&rategroup=&hide_agent_info=&callc_num=&airport=ADZ&airportTo=CUN&adults=2&child=0&rooms=1&AFF=&PC=Promotional%2520Code&airline=&fareclass=E&stops=)
08:25:09	1126/1126	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Apr%202021%2013:25:06%20GMT	https://www.reservhotel.com/win/owa/linkid.js	/home/hectorsum/Desktop/Projects/hyattziva-rooms/www.reservhotel.com/win/owa/linkid.1a.delayed	(from https://www.reservhotel.com/win/owa/ibe5_rooms.main?hotel=10757&aDate=31-MAY-21&dDate=20-JUN-21&lang=1&source=&IP=&S=69289427&currency=&room=&rate=&allow_cash=N&agent=&usr=&showHotel=&sub_source=&view_type=&usr_country=PE&chat=Y&PCC=&AirportDep=&r=https%3A%2F%2Fwww.reservhotel.com%2Fwin%2Fowa%2Fibe5_rooms.main%3Fhotel%3D10757_aDate%3D26-MAY-21_dDate%3D31-MAY-21_lang%3D1_source%3D_IP%3D_S%3D692&rategroup=&hide_agent_info=&callc_num=&airport=ADZ&airportTo=CUN&adults=2&child=0&rooms=1&AFF=&PC=Promotional%2520Code&airline=&fareclass=E&stops=)
08:25:09	404/404	---MCZ	200	added ('OK')	text/css	etag:W/%2212740a-200-59eca9e7b0cc0%22	https://www.reservhotel.com/hotel_fastlink_css/10757.css	/home/hectorsum/Desktop/Projects/hyattziva-rooms/www.reservhotel.com/hotel_fastlink_css/10757.css	(from https://www.reservhotel.com/win/owa/ibe5_rooms.main?hotel=10757&aDate=31-MAY-21&dDate=20-JUN-21&lang=1&source=&IP=&S=69289427&currency=&room=&rate=&allow_cash=N&agent=&usr=&showHotel=&sub_source=&view_type=&usr_country=PE&chat=Y&PCC=&AirportDep=&r=https%3A%2F%2Fwww.reservhotel.com%2Fwin%2Fowa%2Fibe5_rooms.main%3Fhotel%3D10757_aDate%3D26-MAY-21_dDate%3D31-MAY-21_lang%3D1_source%3D_IP%3D_S%3D692&rategroup=&hide_agent_info=&callc_num=&airport=ADZ&airportTo=CUN&adults=2&child=0&rooms=1&AFF=&PC=Promotional%2520Code&airline=&fareclass=E&stops=)
08:25:11	910/910	---MC-	200	added ('OK')	text/javascript	date:Mon,%2026%20Apr%202021%2013:25:10%20GMT	https://www.google.com/recaptcha/api.js?onload=recaptchaOnload&render=explicit	/home/hectorsum/Desktop/Projects/hyattziva-rooms/www.google.com/recaptcha/api8027.js	(from https://www.reservhotel.com/win/owa/ibe5_rooms.main?hotel=10757&aDate=31-MAY-21&dDate=20-JUN-21&lang=1&source=&IP=&S=69289427&currency=&room=&rate=&allow_cash=N&agent=&usr=&showHotel=&sub_source=&view_type=&usr_country=PE&chat=Y&PCC=&AirportDep=&r=https%3A%2F%2Fwww.reservhotel.com%2Fwin%2Fowa%2Fibe5_rooms.main%3Fhotel%3D10757_aDate%3D26-MAY-21_dDate%3D31-MAY-21_lang%3D1_source%3D_IP%3D_S%3D692&rategroup=&hide_agent_info=&callc_num=&airport=ADZ&airportTo=CUN&adults=2&child=0&rooms=1&AFF=&PC=Promotional%2520Code&airline=&fareclass=E&stops=)
08:25:12	35662/35662	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2026%20Apr%202021%2013:25:11%20GMT	https://www.reservhotel.com/cdn-cgi/bm/cv/669835187/api.js	/home/hectorsum/Desktop/Projects/hyattziva-rooms/www.reservhotel.com/cdn-cgi/bm/cv/669835187/api.js	(from https://www.reservhotel.com/win/owa/ibe5_rooms.main?hotel=10757&aDate=31-MAY-21&dDate=20-JUN-21&lang=1&source=&IP=&S=69289427&currency=&room=&rate=&allow_cash=N&agent=&usr=&showHotel=&sub_source=&view_type=&usr_country=PE&chat=Y&PCC=&AirportDep=&r=https%3A%2F%2Fwww.reservhotel.com%2Fwin%2Fowa%2Fibe5_rooms.main%3Fhotel%3D10757_aDate%3D26-MAY-21_dDate%3D31-MAY-21_lang%3D1_source%3D_IP%3D_S%3D692&rategroup=&hide_agent_info=&callc_num=&airport=ADZ&airportTo=CUN&adults=2&child=0&rooms=1&AFF=&PC=Promotional%2520Code&airline=&fareclass=E&stops=)
08:25:12	569/569	---M--	200	added ('OK')	image/png	etag:%22140dc6-371-55fc6f27d1400%22	https://www.reservhotel.com/ibe5/assets/images/icon_hamburgermenu.png	/home/hectorsum/Desktop/Projects/hyattziva-rooms/www.reservhotel.com/ibe5/assets/images/icon_hamburgermenu.png	(from https://www.reservhotel.com/win/owa/ibe5_rooms.main?hotel=10757&aDate=31-MAY-21&dDate=20-JUN-21&lang=1&source=&IP=&S=69289427&currency=&room=&rate=&allow_cash=N&agent=&usr=&showHotel=&sub_source=&view_type=&usr_country=PE&chat=Y&PCC=&AirportDep=&r=https%3A%2F%2Fwww.reservhotel.com%2Fwin%2Fowa%2Fibe5_rooms.main%3Fhotel%3D10757_aDate%3D26-MAY-21_dDate%3D31-MAY-21_lang%3D1_source%3D_IP%3D_S%3D692&rategroup=&hide_agent_info=&callc_num=&airport=ADZ&airportTo=CUN&adults=2&child=0&rooms=1&AFF=&PC=Promotional%2520Code&airline=&fareclass=E&stops=)
08:25:13	6222/6222	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2211e65f-184e-55e1b84d17240%22	https://www.reservhotel.com/html/airlink/Images/cflags/us.svg	/home/hectorsum/Desktop/Projects/hyattziva-rooms/www.reservhotel.com/html/airlink/Images/cflags/us.svg	(from https://www.reservhotel.com/win/owa/ibe5_rooms.main?hotel=10757&aDate=31-MAY-21&dDate=20-JUN-21&lang=1&source=&IP=&S=69289427&currency=&room=&rate=&allow_cash=N&agent=&usr=&showHotel=&sub_source=&view_type=&usr_country=PE&chat=Y&PCC=&AirportDep=&r=https%3A%2F%2Fwww.reservhotel.com%2Fwin%2Fowa%2Fibe5_rooms.main%3Fhotel%3D10757_aDate%3D26-MAY-21_dDate%3D31-MAY-21_lang%3D1_source%3D_IP%3D_S%3D692&rategroup=&hide_agent_info=&callc_num=&airport=ADZ&airportTo=CUN&adults=2&child=0&rooms=1&AFF=&PC=Promotional%2520Code&airline=&fareclass=E&stops=)
08:25:14	6305/6305	---M--	200	added ('OK')	image/jpeg	etag:%2213f2ca-23c4-599980a832980%22	https://www.reservhotel.com/hotel_images_fastlink/10757/10757_ULI_001.jpg	/home/hectorsum/Desktop/Projects/hyattziva-rooms/www.reservhotel.com/hotel_images_fastlink/10757/10757_ULI_001.jpg	(from https://www.reservhotel.com/win/owa/ibe5_rooms.main?hotel=10757&aDate=31-MAY-21&dDate=20-JUN-21&lang=1&source=&IP=&S=69289427&currency=&room=&rate=&allow_cash=N&agent=&usr=&showHotel=&sub_source=&view_type=&usr_country=PE&chat=Y&PCC=&AirportDep=&r=https%3A%2F%2Fwww.reservhotel.com%2Fwin%2Fowa%2Fibe5_rooms.main%3Fhotel%3D10757_aDate%3D26-MAY-21_dDate%3D31-MAY-21_lang%3D1_source%3D_IP%3D_S%3D692&rategroup=&hide_agent_info=&callc_num=&airport=ADZ&airportTo=CUN&adults=2&child=0&rooms=1&AFF=&PC=Promotional%2520Code&airline=&fareclass=E&stops=)
08:25:16	10476/10476	---M--	200	added ('OK')	image/png	etag:%22140de8-2ce5-55fc6f27d1400%22	https://www.reservhotel.com/ibe5/assets/images/secure-shopping.png	/home/hectorsum/Desktop/Projects/hyattziva-rooms/www.reservhotel.com/ibe5/assets/images/secure-shopping.png	(from https://www.reservhotel.com/win/owa/ibe5_rooms.main?hotel=10757&aDate=31-MAY-21&dDate=20-JUN-21&lang=1&source=&IP=&S=69289427&currency=&room=&rate=&allow_cash=N&agent=&usr=&showHotel=&sub_source=&view_type=&usr_country=PE&chat=Y&PCC=&AirportDep=&r=https%3A%2F%2Fwww.reservhotel.com%2Fwin%2Fowa%2Fibe5_rooms.main%3Fhotel%3D10757_aDate%3D26-MAY-21_dDate%3D31-MAY-21_lang%3D1_source%3D_IP%3D_S%3D692&rategroup=&hide_agent_info=&callc_num=&airport=ADZ&airportTo=CUN&adults=2&child=0&rooms=1&AFF=&PC=Promotional%2520Code&airline=&fareclass=E&stops=)
08:25:17	64954/64954	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Apr%202021%2013:25:15%20GMT	https://www.reservhotel.com/win/owa/ibe5.main?hotel=10757&aDate=31-MAY-21&dDate=20-JUN-21&airport=ADZ&airportTo=CUN&adults=2&child=0&rooms=1&source=&aff=&currency=&lang=1&agent=&usr=&hide_agent_info=&room=&rate=&callc_num=&stops=&showHotel=&rategroup=&sub_source=&PCC=&AirportDep=&PC=Promotional%20Code&view_type=&fareclass=E&airline=&showcalendar=Y	/home/hectorsum/Desktop/Projects/hyattziva-rooms/www.reservhotel.com/win/owa/ibe5eddf.html	(from https://www.reservhotel.com/win/owa/ibe5_rooms.main?hotel=10757&aDate=31-MAY-21&dDate=20-JUN-21&lang=1&source=&IP=&S=69289427&currency=&room=&rate=&allow_cash=N&agent=&usr=&showHotel=&sub_source=&view_type=&usr_country=PE&chat=Y&PCC=&AirportDep=&r=https%3A%2F%2Fwww.reservhotel.com%2Fwin%2Fowa%2Fibe5_rooms.main%3Fhotel%3D10757_aDate%3D26-MAY-21_dDate%3D31-MAY-21_lang%3D1_source%3D_IP%3D_S%3D692&rategroup=&hide_agent_info=&callc_num=&airport=ADZ&airportTo=CUN&adults=2&child=0&rooms=1&AFF=&PC=Promotional%2520Code&airline=&fareclass=E&stops=)
